model_id,dv,type,formula,n_ivs,ll_null,ll_full,lr_chisq,df_diff,p_chisq,p_significant,mcfadden_r2,cox_snell_r2
1,cat8,Demographic,cat8 ~ sex + race,2,-838.5673172376593,-818.3820458957945,40.37054268372958,35,0.24492437803477904,FALSE,0.024071140058686602,0.09041473137629219
2,cat8,Demographic,cat8 ~ sex + race + parents_income_num,3,-838.5673172376593,-816.3760139350667,44.382606605185174,42,0.3715734051850615,FALSE,0.026463353443935023,0.09894098362466852
3,cat8,Demographic,cat8 ~ sex + race + mom_educ_num + dad_educ_num,4,-838.5673172376593,-810.9861970486646,55.16224037798929,49,0.2530639279748228,FALSE,0.032890764548098694,0.12145559581867416
4,cat8,Demographic,cat8 ~ sex + race + us_citizen + english_primary,4,-838.5673172376593,-809.7699993436144,57.59463578808982,49,0.18712487247070597,FALSE,0.03434109260173257,0.12645765706653123
5,cat8,Demographic,cat8 ~ sex + race + parents_income_num + religion,4,-838.5673172376593,-804.0268941296268,69.08084621606486,63,0.2795465228899896,FALSE,0.04118980360671898,0.14969622486831968
6,cat8,Personality,cat8 ~ z_extraversion + z_neuroticism,2,-838.5673172376593,-833.6974599749285,9.739714525461522,14,0.7809549724238155,FALSE,0.005807353998451337,0.022603797671673087
7,cat8,Personality,cat8 ~ z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,5,-838.5673172376593,-824.3808813610789,28.37287175316078,35,0.7785607553609863,FALSE,0.01691746814473072,0.06443343874185536
8,cat8,Personality,cat8 ~ z_extraversion + z_neuroticism + z_openness + z_trust + firstborn,5,-838.5673172376593,-816.9799242154845,43.1747860443495,35,0.16150658529605447,FALSE,0.025743184331683988,0.09638262236391293
9,cat8,Mixed,cat8 ~ sex + race + z_extraversion + z_neuroticism,4,-838.5673172376593,-812.6995159698577,51.73560253560322,49,0.3675090091935846,FALSE,0.030847614420525304,0.11436030544414655
10,cat8,Mixed,cat8 ~ sex + race + parents_income_num + z_extraversion + z_neuroticism + z_openness,6,-838.5673172376593,-807.5810111461809,61.97261218295671,63,0.5129682765989362,FALSE,0.03695148314812813,0.13538902703614575
11,cat8,Mixed,cat8 ~ sex + race + z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,7,-838.5673172376593,-802.5223161420354,72.09000219124778,70,0.40859803506746084,FALSE,0.04298402806152812,0.15568139138052195
12,cat8,Mixed,cat8 ~ sex + race + parents_income_num + z_trust + firstborn,5,-838.5673172376593,-802.5794493680997,71.97573573911905,56,0.07385395893363833,FALSE,0.04291589611208302,0.15545488848818467
13,cat8,Mixed,cat8 ~ sex + race + mom_educ_num + z_extraversion + z_trust,5,-838.5673172376593,-808.1641824267521,60.80626962181441,56,0.30699675876028043,FALSE,0.03625604550277339,0.13301857086770585
14,cat8,Mixed,cat8 ~ sex + race + parents_income_num + religion + z_extraversion + z_neuroticism + z_trust,7,-838.5673172376593,-794.2609905563706,88.61265336257725,84,0.34428600273297605,FALSE,0.05283574230777199,0.18780183529084793
15,cat4,Demographic,cat4 ~ sex + race,2,-492.5071205672787,-482.971754097128,19.07073294030147,15,0.21054649210728427,FALSE,0.019360870273647413,0.043779724465704994
16,cat4,Demographic,cat4 ~ sex + race + parents_income_num,3,-492.5071205672787,-482.3875025801908,20.239235974175813,18,0.3195131524597269,FALSE,0.020547150618719923,0.046399009142619185
17,cat4,Demographic,cat4 ~ sex + race + mom_educ_num + dad_educ_num,4,-492.5071205672787,-479.7759918531989,25.46225742815966,21,0.22769873659872544,FALSE,0.02584963380715366,0.058019360667999065
18,cat4,Demographic,cat4 ~ sex + race + us_citizen + english_primary,4,-492.5071205672787,-480.294758217285,24.42472469998745,21,0.2729376844074561,FALSE,0.024796316317066247,0.05572234923329944
19,cat4,Demographic,cat4 ~ sex + race + parents_income_num + religion,4,-492.5071205672787,-477.30072661071705,30.41278791312334,27,0.29592873640774087,FALSE,0.030875480417514867,0.06890272331004588
20,cat4,Personality,cat4 ~ z_extraversion + z_neuroticism,2,-492.5071205672787,-488.94626738051795,7.121706373521533,6,0.3097384601241336,FALSE,0.007230054222686744,0.016578656635804268
21,cat4,Personality,cat4 ~ z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,5,-492.5071205672787,-485.74987847422307,13.514484186111304,15,0.5626235969066877,FALSE,0.013720090148691688,0.03122621008253712
22,cat4,Personality,cat4 ~ z_extraversion + z_neuroticism + z_openness + z_trust + firstborn,5,-492.5071205672787,-481.5687574446529,21.87672624525169,15,0.11107726224037014,FALSE,0.022209553254837866,0.05005749519517688
23,cat4,Mixed,cat4 ~ sex + race + z_extraversion + z_neuroticism,4,-492.5071205672787,-478.6592238895335,27.695793355490423,21,0.14899175250327878,FALSE,0.028117150188194162,0.06294528011560119
24,cat4,Mixed,cat4 ~ sex + race + parents_income_num + z_extraversion + z_neuroticism + z_openness,6,-492.5071205672787,-477.0841769771813,30.845887180194836,27,0.2775135512154041,FALSE,0.031315168747881206,0.06984885624115067
25,cat4,Mixed,cat4 ~ sex + race + z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,7,-492.5071205672787,-475.0675428685227,34.87915539751202,30,0.2470641078427112,FALSE,0.035409798093210876,0.07861375193706388
26,cat4,Mixed,cat4 ~ sex + race + parents_income_num + z_trust + firstborn,5,-492.5071205672787,-475.6653162230675,33.683608688422396,24,0.09045112358464882,FALSE,0.034196062637251834,0.07602429776015762
27,cat4,Mixed,cat4 ~ sex + race + mom_educ_num + z_extraversion + z_trust,5,-492.5071205672787,-477.28076663939027,30.452707855776907,24,0.1701971943458204,FALSE,0.03091600769213343,0.06898997121708206
28,cat4,Mixed,cat4 ~ sex + race + parents_income_num + religion + z_extraversion + z_neuroticism + z_trust,7,-492.5071205672787,-471.65454326314233,41.70515460827278,36,0.23653676440900476,FALSE,0.04233964633875342,0.09325990450668808
29,kmeans_raw7,Demographic,kmeans_raw7 ~ sex + race,2,-817.7172461659181,-789.5752309182832,56.28403049526992,30,0.002532389061301433,TRUE,0.03441533779504613,0.12376603231874495
30,kmeans_raw7,Demographic,kmeans_raw7 ~ sex + race + parents_income_num,3,-817.7172461659181,-788.1807440274165,59.07300427700329,36,0.009012980876653899,TRUE,0.036120678971846676,0.129483899388239
31,kmeans_raw7,Demographic,kmeans_raw7 ~ sex + race + mom_educ_num + dad_educ_num,4,-817.7172461659181,-786.4479854387862,62.5385214542639,42,0.021477293885967183,TRUE,0.03823969822545148,0.13653683575907527
32,kmeans_raw7,Demographic,kmeans_raw7 ~ sex + race + us_citizen + english_primary,4,-817.7172461659181,-783.5169275167905,68.40063729825533,42,0.006174024227986088,TRUE,0.04182413763374182,0.148337430925628
33,kmeans_raw7,Demographic,kmeans_raw7 ~ sex + race + parents_income_num + religion,4,-817.7172461659181,-782.5162177062401,70.40205691935603,54,0.06620577665969614,FALSE,0.04304792227964771,0.15232930028129166
34,kmeans_raw7,Personality,kmeans_raw7 ~ z_extraversion + z_neuroticism,2,-817.7172461659181,-808.8558699830386,17.722752365759106,12,0.12437168989810728,FALSE,0.010836724093112204,0.040749189652947715
35,kmeans_raw7,Personality,kmeans_raw7 ~ z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,5,-817.7172461659181,-799.5897225175137,36.255047296808925,30,0.19984532508397296,FALSE,0.022168449709725646,0.08158483838704023
36,kmeans_raw7,Personality,kmeans_raw7 ~ z_extraversion + z_neuroticism + z_openness + z_trust + firstborn,5,-817.7172461659181,-796.3616602105571,42.71117191072199,30,0.062118789407002654,FALSE,0.026116100712675783,0.09539868379535299
37,kmeans_raw7,Mixed,kmeans_raw7 ~ sex + race + z_extraversion + z_neuroticism,4,-817.7172461659181,-780.9789453666901,73.476601598456,42,0.0018954039169407331,TRUE,0.04492787815285193,0.15842512007531284
38,kmeans_raw7,Mixed,kmeans_raw7 ~ sex + race + parents_income_num + z_extraversion + z_neuroticism + z_openness,6,-817.7172461659181,-776.0493977033643,83.33569692510764,54,0.006354411434256601,TRUE,0.0509563038543267,0.17767838531114122
39,kmeans_raw7,Mixed,kmeans_raw7 ~ sex + race + z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,7,-817.7172461659181,-772.0333614754104,91.36776938101548,60,0.005614651204826793,TRUE,0.05586758125098701,0.19303770310190738
40,kmeans_raw7,Mixed,kmeans_raw7 ~ sex + race + parents_income_num + z_trust + firstborn,5,-817.7172461659181,-781.6308876512229,72.17271702939047,48,0.013576408911372852,TRUE,0.044130607106424136,0.15584531367495946
41,kmeans_raw7,Mixed,kmeans_raw7 ~ sex + race + mom_educ_num + z_extraversion + z_trust,5,-817.7172461659181,-780.3756141493017,74.68326403323294,48,0.008129290919112813,TRUE,0.045665701917994905,0.16080554245211742
42,kmeans_raw7,Mixed,kmeans_raw7 ~ sex + race + parents_income_num + religion + z_extraversion + z_neuroticism + z_trust,7,-817.7172461659181,-769.138061421138,97.1583694895603,72,0.02578750091136172,TRUE,0.05940829176901474,0.20393249374576428
43,kmeans_raw9,Demographic,kmeans_raw9 ~ sex + race,2,-925.7129866235155,-893.4890462756139,64.44788069580318,40,0.008459220858181847,TRUE,0.03480986095424299,0.14039827280909434
44,kmeans_raw9,Demographic,kmeans_raw9 ~ sex + race + parents_income_num,3,-925.7129866235155,-890.4818282698592,70.46231670731254,48,0.01900167019086976,TRUE,0.03805840348222822,0.15244919897613174
45,kmeans_raw9,Demographic,kmeans_raw9 ~ sex + race + mom_educ_num + dad_educ_num,4,-925.7129866235155,-889.8304698006583,71.76503364571431,56,0.07624313321965974,FALSE,0.03876203244564669,0.1550370682131964
46,kmeans_raw9,Demographic,kmeans_raw9 ~ sex + race + us_citizen + english_primary,4,-925.7129866235155,-884.7028393889688,82.02029446909341,56,0.013302663320874614,TRUE,0.04430114714510902,0.17513529704094832
47,kmeans_raw9,Demographic,kmeans_raw9 ~ sex + race + parents_income_num + religion,4,-925.7129866235155,-882.3714895421155,86.68299416280001,72,0.11433505644268836,FALSE,0.0468195841558684,0.18411446284773014
48,kmeans_raw9,Personality,kmeans_raw9 ~ z_extraversion + z_neuroticism,2,-925.7129866235155,-913.5143314377594,24.39731037151205,16,0.08117882114728611,FALSE,0.013177578106849164,0.05566158028810919
49,kmeans_raw9,Personality,kmeans_raw9 ~ z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,5,-925.7129866235155,-904.5250333319764,42.37590658307818,40,0.3688830881904116,FALSE,0.022888253268241288,0.09468647527324947
50,kmeans_raw9,Personality,kmeans_raw9 ~ z_extraversion + z_neuroticism + z_openness + z_trust + firstborn,5,-925.7129866235155,-900.5505357515466,50.324901743937744,40,0.1269583152778411,FALSE,0.027181698037690327,0.1114226445171016
51,kmeans_raw9,Mixed,kmeans_raw9 ~ sex + race + z_extraversion + z_neuroticism,4,-925.7129866235155,-881.2928486274584,88.84027599211413,56,0.0034091099143570987,TRUE,0.04798478430995867,0.1882356974953805
52,kmeans_raw9,Mixed,kmeans_raw9 ~ sex + race + parents_income_num + z_extraversion + z_neuroticism + z_openness,6,-925.7129866235155,-875.6549104798828,100.11615228726532,72,0.015901120929384043,TRUE,0.05407515813969144,0.20944056770424346
53,kmeans_raw9,Mixed,kmeans_raw9 ~ sex + race + z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,7,-925.7129866235155,-870.3922524812799,110.6414682844711,80,0.013237317777796413,TRUE,0.0597601361778608,0.22873384428256782
54,kmeans_raw9,Mixed,kmeans_raw9 ~ sex + race + parents_income_num + z_trust + firstborn,5,-925.7129866235155,-882.989570806631,85.44683163376885,64,0.03794344433152875,TRUE,0.046151902840550596,0.18174349601569784
55,kmeans_raw9,Mixed,kmeans_raw9 ~ sex + race + mom_educ_num + z_extraversion + z_trust,5,-925.7129866235155,-880.5212563560041,90.38346053502278,64,0.0166313663431622,TRUE,0.048818295649438403,0.19117099304783147
56,kmeans_raw9,Mixed,kmeans_raw9 ~ sex + race + parents_income_num + religion + z_extraversion + z_neuroticism + z_trust,7,-925.7129866235155,-865.1510651352658,121.12384297649942,96,0.042477972404357724,TRUE,0.06542192057729013,0.2474804253683407
57,kmeans_dem4,Demographic,kmeans_dem4 ~ sex + race,2,-547.1874939089041,-535.5127887008309,23.349410416146384,15,0.07699774835360476,FALSE,0.021335840709138743,0.05333578148411999
58,kmeans_dem4,Demographic,kmeans_dem4 ~ sex + race + parents_income_num,3,-547.1874939089041,-533.5517220911979,27.2715436354124,18,0.07404132704916667,FALSE,0.024919743176689435,0.06201161057509441
59,kmeans_dem4,Demographic,kmeans_dem4 ~ sex + race + mom_educ_num + dad_educ_num,4,-547.1874939089041,-534.9341078133232,24.506772191161872,21,0.26915718333521726,FALSE,0.022393395740913813,0.0559041993549072
60,kmeans_dem4,Demographic,kmeans_dem4 ~ sex + race + us_citizen + english_primary,4,-547.1874939089041,-531.85760209172,30.659783634368296,21,0.07950945520218458,FALSE,0.028015793467195516,0.06944241905111415
61,kmeans_dem4,Demographic,kmeans_dem4 ~ sex + race + parents_income_num + religion,4,-547.1874939089041,-528.8569468635645,36.66109409067917,27,0.10156913600610151,FALSE,0.03349957235753498,0.08245981928375545
62,kmeans_dem4,Personality,kmeans_dem4 ~ z_extraversion + z_neuroticism,2,-547.1874939089041,-536.2107625620044,21.953462693799338,6,0.001234610386150269,TRUE,0.020060274529459687,0.05022859531052537
63,kmeans_dem4,Personality,kmeans_dem4 ~ z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,5,-547.1874939089041,-528.1051556140667,38.164676589674855,15,8.530828523557734e-4,TRUE,0.03487349127539496,0.08569260226546638
64,kmeans_dem4,Personality,kmeans_dem4 ~ z_extraversion + z_neuroticism + z_openness + z_trust + firstborn,5,-547.1874939089041,-531.5036657364622,31.367656344883926,15,0.007841175227492659,TRUE,0.028662621764986795,0.07098741748904547
65,kmeans_dem4,Mixed,kmeans_dem4 ~ sex + race + z_extraversion + z_neuroticism,4,-547.1874939089041,-526.1370448547137,42.10089810838076,21,0.004086569467506317,TRUE,0.038470267117791335,0.09410185257135373
66,kmeans_dem4,Mixed,kmeans_dem4 ~ sex + race + parents_income_num + z_extraversion + z_neuroticism + z_openness,6,-547.1874939089041,-520.889596336342,52.59579514512416,27,0.002251108361108178,TRUE,0.0480601217412695,0.11614681270048399
67,kmeans_dem4,Mixed,kmeans_dem4 ~ sex + race + z_agreeableness + z_conscientiousness + z_extraversion + z_neuroticism + z_openness,7,-547.1874939089041,-519.4140479915553,55.54689183469759,30,0.003076663531326401,TRUE,0.050756726399109775,0.12224850864582204
