"Model","LogLik","Params","AIC","BIC","delta_BIC","LRT_stat","df_diff","p_val"
"Model 0: Empty Baseline (No Covariates)",-18424.1173337204,29,36906.2346674407,37074.5342840923,13.1643365978671,0,0,NA
"Model 1a: Family SES (Income, Mother's College)",-18413.8494009372,33,36893.6988018744,37085.2121587538,23.8422112593762,20.5358655663003,4,0.000391325094993955
"Model 1b: Gender Identity Only",-18423.23415593,31,36908.4683118599,37088.3747986254,27.0048511309724,1.76635558080307,2,0.413466910621342
"Model 1c: Religious Affiliation (Catholic, Other, None)",-18422.5932758876,33,36911.1865517751,37102.6999086546,41.329961160096,3.04811566558055,4,0.549805898300911
"Model 1d: Race/Ethnicity Only",-18407.7609638852,37,36889.5219277703,37104.2490248776,42.8790773830988,32.7127396703872,8,6.93764946355646e-05
"Model 1e: All Sociodemographics (Gender, Race, SES, Religion)",-18404.4229033606,47,36902.8458067212,37175.607254398,114.237306903524,39.3888607194822,18,0.00252600971124495
"Model 2a: Generalized Trust Only",-18409.7317303645,31,36881.4634607289,37061.3699474945,0,28.7712067117754,2,5.65472961566726e-07
"Model 2b: Extraversion Only",-18412.3038575927,31,36886.6077151854,37066.514201951,5.14425445649249,23.626952255283,2,7.40410392041646e-06
"Model 2c: Big Five Personality Traits",-18408.1736588287,39,36894.3473176575,37120.6812848786,59.3113373841552,31.8873497832392,10,0.000418116789960621
"Model 2d: All Dispositions (Big Five + Trust)",-18400.3314483218,41,36882.6628966435,37120.6037339786,59.2337864841102,47.5717707971853,12,3.71012336553012e-06
"Model 3: Full Multivariable Model",-18389.0523315991,59,36896.1046631981,37238.5073315583,177.137384063819,70.1300042426155,30,4.6640566546019e-05
