term,estimate,std.error,statistic,p.value,p_format,IRR,conf.low.irr,conf.high.irr
(Intercept),2.555677380982026,0.07123866082781265,35.874865575578745,7.533821512798612e-282,< .001,12.880021384756695,11.201521370854431,14.810037438614076
time,-0.07184702585098214,0.004134820695427884,-17.376092252422858,1.2519953860616376e-67,< .001,0.9306732538714012,0.9231613268673817,0.9382463067541501
z_extraversion,0.03225211428232563,0.024077589892286012,1.3395075847129772,0.18040548693874628,0.180,1.0327778505319531,0.9851710856212357,1.0826851336961423
z_neuroticism,0.011800169609920983,0.02602896068201133,0.4533477058143203,0.6502983859632533,0.650,1.0118700662715885,0.9615424229182179,1.064831885325514
sexFemale,-0.0036763462027426877,0.04413787625512261,-0.0832923220295633,0.9336191052145433,0.934,0.9963304032842748,0.9137606765507141,1.0863613394436895
raceAsian,-0.26403173947943426,0.07513046917352123,-3.514309738564615,4.408983875638661e-4,< .001,0.7679491649631602,0.662796377390464,0.8897844648601425
raceBlack,-0.25922027472983267,0.09288670137295527,-2.7907146114385197,0.005259182144842781,0.005,0.7716530286592448,0.6432137335578414,0.9257395568116229
raceHispanic/Latino,0.00943409003272277,0.06618147691737539,0.14254879872960238,0.8866465370715456,0.887,1.0094787313330091,0.8866707108948196,1.1492962342077238
raceOther/International,-0.24705718166153384,0.09264356424786309,-2.666749532655556,0.00765887266454017,0.008,0.7810960278856687,0.651395322021999,0.9366217167248317
parents_income_num,0.012842356868926293,0.0105876756125601,1.212953375119604,0.22514764702408996,0.225,1.0129251740768805,0.9921217103564745,1.0341648585736776
z_agreeableness,0.031907000561431795,0.02420395360366915,1.3182557314353354,0.18741805470420606,0.187,1.032421486221743,0.9845872624660623,1.0825796410798607
z_conscientiousness,-0.0018422433337829237,0.023418000088584707,-0.07866783358161059,0.9372968312447767,0.937,0.9981594525548945,0.9533801815979824,1.0450419590794595
z_openness,-0.01881265027278728,0.02238745272097415,-0.8403211614674794,0.4007283395518531,0.401,0.9813632031494031,0.9392326587142281,1.0253835698324907
z_trust,0.06337738277861002,0.02443998205108853,2.593184505869441,0.009509174070970206,0.010,1.0654288378680992,1.0155953760955336,1.1177075391235234
time:z_extraversion,-0.013985860852001295,0.0042019395730729945,-3.328429790286834,8.733701564723433e-4,< .001,0.98611148694055,0.9780234199888019,0.9942664406617546
time:z_neuroticism,0.005530900600653138,0.004311297649674485,1.2828853514836158,0.1995322456076385,0.200,1.005546224269584,0.9970850140532694,1.0140792358642323
