"term","estimate","std.error","statistic","p.value","IRR","conf.low.irr","conf.high.irr","p_format"
"(Intercept)",2.529423704973,0.0718968628761599,35.1812805703338,3.86591005625511e-271,12.5462736977197,10.8971997628124,14.4449020963408,"< .001"
"time",-0.0563762191950944,0.00296960866536521,-18.9843934160804,2.2957199658991e-80,0.945183472825592,0.939698074945621,0.950700891192467,"< .001"
"z_extraversion",0.0161150466160553,0.0239497971294529,0.672867771236249,0.501031417464223,1.01624559429768,0.969643737615417,1.06508717363477,"0.501"
"z_neuroticism",0.0132377394598928,0.0259104199003705,0.510904088424423,0.609418218216918,1.01332574624107,0.963149453440593,1.06611602625839,"0.609"
"female",0.00925210174602629,0.0445929275286022,0.207479128615001,0.835635690987443,1.00929503474406,0.924825658796918,1.10147945990618,"0.836"
"raceAsian",-0.277681885710622,0.0761998029273622,-3.64412865969383,0.000268299191608672,0.757537766776593,0.652441695424994,0.879562836214904,"< .001"
"raceBlack",-0.245340366785823,0.092952280967038,-2.63942276868734,0.00830473432608579,0.782438176946778,0.652119900505711,0.938798985077801,"0.008"
"raceHispanic/Latino",0.0194150707501687,0.0671908280434025,0.288954181925357,0.772616440099486,1.01960476891521,0.893794896656006,1.16312354062898,"0.773"
"raceOther/International",-0.236962948288452,0.0930600571164709,-2.54634432463196,0.0108857753745599,0.789020522036809,0.65746703028761,0.946896734765395,"0.011"
"parents_income_num",0.0105758731418284,0.010735029811416,0.98517408219786,0.32453856911516,1.01063199536085,0.989589780072885,1.03212164334582,"0.325"
"z_agreeableness",0.0361520458605068,0.0244851157300826,1.47649070803003,0.139812207878441,1.03681347770444,0.988231021666059,1.0877842973774,"0.140"
"z_conscientiousness",0.00103833864186938,0.0236789299966753,0.0438507416515515,0.965023379966692,1.00103887790207,0.955641568910551,1.04859276497758,"0.965"
"z_openness",-0.0174693786710136,0.0227158376433541,-0.769039598948028,0.441869803128039,0.982682326243165,0.939890010705553,1.02742293599416,"0.442"
"z_trust",0.0680727028937134,0.0248125183608955,2.74348221746794,0.00607913406800427,1.07044312996292,1.01963035739683,1.12378813181889,"0.006"
"time:z_extraversion",-0.00637992577618947,0.0029692198839467,-2.14868754270541,0.031659176843742,0.993640382738375,0.987874516641053,0.999439902109763,"0.032"
"time:z_neuroticism",0.00499854030539026,0.00305090887245943,1.63837745221174,0.101342979747608,1.00501105384911,0.999019240174979,1.01103880459999,"0.101"
